time,open,high,low,close,volume
2025-09-21 09:35:00,32.63,32.63,32.63,32.63,0.0
2025-09-21 09:36:00,32.63,32.63,32.63,32.63,0.0
2025-09-21 09:37:00,32.63,32.63,32.63,32.63,0.0
2025-09-21 09:38:00,32.63,32.63,32.63,32.63,0.0
2025-09-21 09:39:00,32.63,32.63,32.63,32.63,0.0
2025-09-21 09:40:00,32.63,32.63,32.63,32.63,0.0
2025-09-21 09:41:00,32.79,32.86,32.79,32.86,1.13012253
2025-09-21 09:42:00,32.88,32.9,32.88,32.9,5.01260995
2025-09-21 09:43:00,32.99,33.02,32.99,33.02,2.81791526
2025-09-21 09:44:00,33.04,33.04,33.04,33.04,0.45838905
2025-09-21 09:45:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 09:46:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 09:47:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 09:48:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 09:49:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 09:50:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 09:51:00,33.04,33.04,33.04,33.04,0.0
2025-09-21 09:52:00,33.0,33.02,33.0,33.02,2.5438058
2025-09-21 09:53:00,33.02,33.02,33.02,33.02,0.0
2025-09-21 09:54:00,33.02,33.02,33.02,33.02,0.0
2025-09-21 09:55:00,33.02,33.02,33.02,33.02,0.0
2025-09-21 09:56:00,33.02,33.02,33.02,33.02,0.0
2025-09-21 09:57:00,33.02,33.02,33.02,33.02,0.0
2025-09-21 09:58:00,33.11,33.12,33.11,33.12,2.38069759
2025-09-21 09:59:00,33.12,33.12,33.12,33.12,0.0
2025-09-21 10:00:00,33.13,33.13,33.13,33.13,1.85298459
2025-09-21 10:01:00,33.14,33.24,33.14,33.24,9.52751631
2025-09-21 10:02:00,33.24,33.24,33.24,33.24,9.44
2025-09-21 10:03:00,33.2,33.24,33.2,33.24,18.63
2025-09-21 10:04:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:05:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:06:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:07:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:08:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:09:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:10:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:11:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:12:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:13:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:14:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:15:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:16:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:17:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:18:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:19:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 10:20:00,33.24,33.24,33.24,33.24,0.0
